,video_name,stress_global_proba_0,stress_global_proba_1,stress_global_proba_2
0,Test_pour_AFPA,0.3705,0.09858333333333333,0.5309166666666667
1,Video_1,0.6875799062049063,0.20820364357864363,0.10421645021645022
2,WIN_20210323_19_17_40_Pro,0.47016666666666657,0.058666666666666666,0.4711666666666667
3,WIN_20210329_10_16_02_Pro,0.5561452020202019,0.25266378066378076,0.19119101731601731
4,WIN_20210330_13_10_29_Pro,0.6838261183261183,0.27622727272727265,0.03994660894660896
5,WIN_20210331_21_22_52_Pro,0.30548559773559775,0.6248599456099455,0.06965445665445665
6,WIN_20210402_14_27_50_Pro,0.3407202380952381,0.36496626984126995,0.29431349206349217
7,WIN_20210402_19_04_53_Pro,0.1413321262071262,0.4698207764457766,0.38884709734709744
8,WIN_20210403_18_49_15_Pro,0.424495670995671,0.406754329004329,0.16875
9,WIN_20210404_10_58_27_Pro,0.3868531746031746,0.28715476190476197,0.3259920634920635
10,WIN_20210404_21_41_12_Pro,0.2896563852813853,0.31706186868686875,0.39328174603174604
11,WIN_20210405_15_09_16_Pro,0.24035515873015872,0.46619444444444447,0.29345039682539686
12,WIN_20210406_15_06_15_Pro,0.37435714285714283,0.21049007936507938,0.4151527777777777
13,WIN_20210406_18_35_52_Pro,0.4296268315018315,0.2280035242535244,0.34236964424464417
14,WIN_20210406_18_49_10_Pro,0.2600635753135754,0.4559845987345989,0.28395182595182594
15,WIN_20210406_21_05_52_Pro,0.4364365079365079,0.2910019841269842,0.272561507936508
16,WIN_20210407_09_04_05_Pro,0.2798874736374737,0.17057935120435122,0.5495331751581752
17,WIN_20210407_14_54_56_Pro_edit2,0.34452669552669557,0.4822525252525252,0.17322077922077925
18,WIN_20210408_11_48_58_Pro,0.23344047619047617,0.610202380952381,0.15635714285714283
19,WIN_20210408_14_00_44_Pro,0.4877538156288155,0.3778576007326008,0.13438858363858364
20,WIN_20210408_14_02_19_Pro,0.6659960317460317,0.24104761904761898,0.09295634920634921
21,WIN_20210408_14_11_32_Pro,0.314035076035076,0.5501622682872683,0.13580265567765568
22,WIN_20210408_15_20_51_Pro,0.5444365079365079,0.3656507936507936,0.0899126984126984
23,WIN_20210408_16_04_32_Pro,0.32754929792429793,0.3789350233100233,0.29351567876567886
24,WIN_20210409_10_26_11_Pro,0.26891025641025645,0.6018962148962149,0.12919352869352868
25,WIN_20210413_15_38_01_Pro,0.8381651265401264,0.12668228993228994,0.03515258352758353
26,WIN_20210414_06_24_52_Pro,0.13478174603174603,0.2862063492063493,0.5790119047619048
27,WIN_20210415_15_41_24_Pro,0.6409708624708625,0.20729322066822067,0.15173591686091684
28,WIN_20210416_08_06_54_Pro,0.314035076035076,0.5501622682872683,0.13580265567765568
29,WIN_20210417_14_53_12_Pro,0.77962987012987,0.14313528138528137,0.07723484848484849
