,video_name,stress_global_predict_0,stress_global_predict_1,stress_global_predict_2
0,Test_pour_AFPA,0.32310563366681344,0.37061350847504676,0.3062808578581398
1,Video_1,0.3753371354066625,0.2725156962415501,0.35214716835178744
2,WIN_20210323_19_17_40_Pro,0.3616970964085193,0.23341170449226353,0.40489119909921706
3,WIN_20210329_10_16_02_Pro,0.295099402161291,0.36697778253903873,0.33792281529967033
4,WIN_20210330_13_10_29_Pro,0.42992190985452666,0.18262076040205033,0.38745732974342306
5,WIN_20210331_21_22_52_Pro,0.3936157024674502,0.40867023978008876,0.19771405775246098
6,WIN_20210402_14_27_50_Pro,0.5525251405158652,0.20634205165785355,0.24113280782628124
7,WIN_20210402_19_04_53_Pro,0.34834001742204035,0.4361157410454199,0.21554424153253982
8,WIN_20210403_18_49_15_Pro,0.49657643881489966,0.2954080244260436,0.20801553675905674
9,WIN_20210404_10_58_27_Pro,0.24836176548875727,0.489983693799498,0.2616545407117447
10,WIN_20210404_21_41_12_Pro,0.2551012557613058,0.4445353989692123,0.3003633452694819
11,WIN_20210405_15_09_16_Pro,0.26542439181184235,0.5784713468890024,0.15610426129915533
12,WIN_20210406_15_06_15_Pro,0.419823625065639,0.3790739176173914,0.20110245731696963
13,WIN_20210406_18_35_52_Pro,0.49175500061121297,0.21448766010578868,0.29375733928299835
14,WIN_20210406_18_49_10_Pro,0.32754950327905874,0.4266044566373059,0.24584604008363525
15,WIN_20210406_21_05_52_Pro,0.5525251405158652,0.20634205165785355,0.24113280782628124
16,WIN_20210407_09_04_05_Pro,0.3006070691896256,0.5379998724018247,0.1613930584085498
17,WIN_20210407_14_54_56_Pro_edit2,0.4114311852996114,0.23494996689434555,0.35361884780604314
18,WIN_20210408_11_48_58_Pro,0.3832163813829053,0.493358743184475,0.12342487543261985
19,WIN_20210408_14_00_44_Pro,0.41989074363080253,0.32703718374834895,0.2530720726208484
20,WIN_20210408_14_02_19_Pro,0.45244484132383644,0.2307337903923637,0.3168213682837998
21,WIN_20210408_14_11_32_Pro,0.542555000710831,0.23445240259343358,0.2229925966957355
22,WIN_20210408_15_20_51_Pro,0.48572106945973165,0.28906546865022376,0.22521346189004465
23,WIN_20210408_16_04_32_Pro,0.2274671669101422,0.6681620781303825,0.1043707549594751
24,WIN_20210409_10_26_11_Pro,0.49237138427237526,0.19387410366523744,0.3137545120623873
25,WIN_20210413_15_38_01_Pro,0.4744825266959972,0.27193291407515585,0.253584559228847
26,WIN_20210414_06_24_52_Pro,0.542555000710831,0.23445240259343358,0.2229925966957355
27,WIN_20210415_15_41_24_Pro,0.25555804899941925,0.4898266494510245,0.2546153015495561
28,WIN_20210416_08_06_54_Pro,0.35031522697195405,0.39921836893395396,0.25046640409409193
29,WIN_20210417_14_53_12_Pro,0.5410090939122555,0.20954680925512972,0.24944409683261473
